user_id,question_id,domain,subdomain,attempt_number,time_taken,answer,marked_for_review,correctness_rate,confidence_level,label
1,100,DBMS,Keys,1,110,1,1,1.0,4,0
1,101,Data Structures,Algorithms,1,56,1,0,1.0,5,0
1,101,Data Structures,Algorithms,2,86,1,1,1.0,4,0
1,102,DBMS,Stored Procedures,1,114,0,1,0.75,1,1
1,103,Data Structures,Queue,1,118,1,0,0.8,5,0
1,104,DBMS,Transactions,1,47,1,0,0.8333333333333334,5,0
1,104,DBMS,Transactions,2,111,0,1,0.7142857142857143,1,1
1,104,DBMS,Transactions,3,49,1,1,0.75,4,0
1,105,DBMS,SQL Constraints,1,34,1,1,0.7777777777777778,5,0
1,105,DBMS,SQL Constraints,2,106,0,0,0.7,1,1
1,105,DBMS,SQL Constraints,3,65,0,1,0.6363636363636364,1,1
1,106,DBMS,Joins,1,74,0,0,0.5833333333333334,1,1
1,106,DBMS,Joins,2,76,1,0,0.6153846153846154,5,0
1,107,Data Structures,Heap,1,82,0,0,0.5714285714285714,1,1
1,108,DBMS,Normalization,1,108,1,1,0.6,4,0
1,109,DBMS,Joins,1,45,0,0,0.5625,2,1
1,109,DBMS,Joins,2,66,1,1,0.5882352941176471,4,0
1,110,DBMS,Keys,1,41,1,1,0.6111111111111112,5,0
1,111,Data Structures,Array,1,77,0,0,0.5789473684210527,1,1
1,111,Data Structures,Array,2,99,1,0,0.6,5,0
1,112,DBMS,Joins,1,72,0,0,0.5714285714285714,1,1
1,112,DBMS,Joins,2,45,1,1,0.5909090909090909,5,0
1,113,DBMS,SQL Constraints,1,115,0,0,0.5652173913043478,1,1
1,114,DBMS,SQL Constraints,1,90,1,0,0.5833333333333334,5,0
1,114,DBMS,SQL Constraints,2,115,1,1,0.6,4,0
1,115,DBMS,SQL Constraints,1,40,1,0,0.6153846153846154,5,0
1,115,DBMS,SQL Constraints,2,47,1,0,0.6296296296296297,5,0
1,116,Data Structures,Queue,1,80,1,1,0.6428571428571429,4,0
1,116,Data Structures,Queue,2,109,0,1,0.6206896551724138,1,1
1,116,Data Structures,Queue,3,95,1,0,0.6333333333333333,4,1
1,117,DBMS,Database Models,1,88,0,1,0.6129032258064516,1,1
1,117,DBMS,Database Models,2,82,0,0,0.59375,1,1
1,117,DBMS,Database Models,3,47,1,0,0.6060606060606061,5,1
1,118,DBMS,Backup & Recovery,1,108,0,1,0.5882352941176471,1,1
1,119,DBMS,Keys,1,65,1,0,0.6,5,0
1,119,DBMS,Keys,2,108,0,0,0.5833333333333334,1,1
1,119,DBMS,Keys,3,32,1,1,0.5945945945945946,4,1
1,120,Data Structures,Stack,1,50,0,0,0.5789473684210527,2,1
1,120,Data Structures,Stack,2,62,0,0,0.5641025641025641,1,1
1,121,Data Structures,Sorting,1,73,0,1,0.55,1,1
1,122,DBMS,Database Design,1,91,1,1,0.5609756097560976,4,0
1,123,Data Structures,Searching,1,32,1,1,0.5714285714285714,5,0
1,123,Data Structures,Searching,2,61,0,1,0.5581395348837209,1,1
1,123,Data Structures,Searching,3,71,1,1,0.5681818181818182,3,1
1,124,Data Structures,Tree,1,89,0,0,0.5555555555555556,1,1
1,124,Data Structures,Tree,2,97,0,1,0.5434782608695652,1,1
1,124,Data Structures,Tree,3,96,1,1,0.5531914893617021,3,1
1,125,DBMS,Keys,1,109,1,0,0.5625,5,0
1,125,DBMS,Keys,2,63,1,0,0.5714285714285714,5,0
1,125,DBMS,Keys,3,38,0,1,0.56,1,1
1,126,DBMS,Keys,1,94,0,0,0.5490196078431373,1,1
1,127,Data Structures,Array,1,37,1,1,0.5576923076923077,5,0
1,127,Data Structures,Array,2,106,1,1,0.5660377358490566,4,0
1,127,Data Structures,Array,3,82,1,0,0.5740740740740741,4,1
1,128,DBMS,Backup & Recovery,1,111,1,1,0.5818181818181818,4,0
